snr_db,nmse_db,num_samples
-10.0,6.246399751398712,10
-5.0,1.4079640334193755,10
0.0,-3.2047308469191194,10
5.0,-6.903941234573722,10
10.0,-9.50657981261611,10
15.0,-10.935247655957937,10
20.0,-11.115807633846998,10
25.0,-11.275562636554241,10
30.0,-11.353107124567032,10
