snr_db,nmse_db,num_samples
-10.0,6.351433915086091,10
-5.0,1.1761503585221362,10
0.0,-3.6881120377220213,10
5.0,-8.479095287621021,10
10.0,-13.496174715459347,10
15.0,-18.600710213184357,10
20.0,-23.767249509692192,10
25.0,-28.359367430210114,10
30.0,-32.82557936012745,10
