benchmark_id,timestamp,device,runtime_backend,run_name,run_dir,experiment_name,model_label,training_label,model_type,seq_len,num_ports,execution_mode,requested_precision_profile,effective_execution_dtype,batch_size,num_threads,status,skip_reason,graph_prep_time_ms,warmup_iters,measure_iters,mean_latency_ms,std_latency_ms,min_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,throughput_samples_per_sec,samples_per_ms,p50_latency_us,latency_per_sample_us,throughput_per_thread,trainable_parameters,macs_per_sample,flops_per_sample_estimate,thread_group,threads_per_physical_core_ratio,threads_per_logical_cpu_ratio,cpu_model_name,cpu_capability,cpu_flag_summary,mkldnn_available,mkldnn_enabled,onednn_version,onnxruntime_version,onnxruntime_providers,logical_cpu_count,physical_cpu_count,hostname,python_version,pytorch_version
20260424_104700,2026-04-24T10:49:44.043196,cpu,pytorch,full_mlp_capacity_search_hd32_depth3,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260422_050408_full_mlp_capacity_search_v2/full_mlp_capacity_search_hd32_depth3,full_mlp_capacity_search_v2,full_mlp_capacity_search_hd32_depth3,supervised_nmse_plateau,full_mlp,12,6,jit,fp32,float32,1,1,ok,,58.683348,3,5,0.0467338,0.003996978829065773,0.041803,0.0449,0.051490999999999995,0.051533999999999996,0.0515684,0.051577,21397.78918042188,21.39778918042188,44.900000000000006,44.900000000000006,21397.78918042188,5552,5376,11000,single-thread,0.015625,0.0078125,Intel(R) Xeon(R) Platinum 8358 CPU $@ $@,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,fma",True,True,,,,128,64,nex-flexran-gpu-01,3.11.9,2.1.2+cu121
20260424_104700,2026-04-24T10:49:44.043196,cpu,pytorch,full_mlp_capacity_search_hd32_depth3,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260422_050408_full_mlp_capacity_search_v2/full_mlp_capacity_search_hd32_depth3,full_mlp_capacity_search_v2,full_mlp_capacity_search_hd32_depth3,supervised_nmse_plateau,full_mlp,12,6,jit,fp32,float32,128,1,ok,,60.872842,3,5,0.072165,0.003873919358995486,0.068347,0.070691,0.0769518,0.0775894,0.07809948,0.078227,1773713.018776415,1773.7130187764149,70.691,0.5522734375,1773713.018776415,5552,5376,11000,single-thread,0.015625,0.0078125,Intel(R) Xeon(R) Platinum 8358 CPU $@ $@,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,fma",True,True,,,,128,64,nex-flexran-gpu-01,3.11.9,2.1.2+cu121
20260424_104700,2026-04-24T10:49:44.043196,cpu,onnxruntime,full_mlp_capacity_search_hd32_depth3,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260422_050408_full_mlp_capacity_search_v2/full_mlp_capacity_search_hd32_depth3,full_mlp_capacity_search_v2,full_mlp_capacity_search_hd32_depth3,supervised_nmse_plateau,full_mlp,12,6,onnxruntime,fp32,float32,1,1,ok,,3.33534,3,5,0.0150886,0.0013889327701512408,0.013578,0.01467,0.0167818,0.0170604,0.01728328,0.017339,66275.20114523548,66.27520114523549,14.67,14.67,66275.20114523548,5552,5376,11000,single-thread,0.015625,0.0078125,Intel(R) Xeon(R) Platinum 8358 CPU $@ $@,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,fma",True,True,,1.23.2,CPUExecutionProvider,128,64,nex-flexran-gpu-01,3.11.9,2.1.2+cu121
20260424_104700,2026-04-24T10:49:44.043196,cpu,onnxruntime,full_mlp_capacity_search_hd32_depth3,/home/liangyi/SRS_AI/Model_AIIC_refactor/experiments_refactored/20260422_050408_full_mlp_capacity_search_v2/full_mlp_capacity_search_hd32_depth3,full_mlp_capacity_search_v2,full_mlp_capacity_search_hd32_depth3,supervised_nmse_plateau,full_mlp,12,6,onnxruntime,fp32,float32,128,1,ok,,3.312308,3,5,0.0379156,0.0013744198194147225,0.036494,0.037406,0.0396062,0.039770599999999996,0.03990212,0.039935,3375919.1467364356,3375.919146736436,37.406,0.292234375,3375919.1467364356,5552,5376,11000,single-thread,0.015625,0.0078125,Intel(R) Xeon(R) Platinum 8358 CPU $@ $@,AVX512,"avx2,avx512f,avx512bw,avx512vl,avx512_vnni,fma",True,True,,1.23.2,CPUExecutionProvider,128,64,nex-flexran-gpu-01,3.11.9,2.1.2+cu121
